B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,0.0,0.0,INDIA,Urban,50-59,30322007.0,15973202.0,14348805.0,15969816.0,13306733.0,2663083.0,238296.0,132101.0,106195.0,1285498.0,772092.0,513406.0,453868.0,303215.0,150653.0,12828397.0,1762276.0,11066121.0,620901.0,178995.0,441906.0
B0101,0.0,0.0,INDIA,Urban,60-69,18911175.0,9506172.0,9405003.0,5529889.0,4568964.0,960925.0,154424.0,91676.0,62748.0,708974.0,440321.0,268653.0,215689.0,145881.0,69808.0,12517888.0,4405211.0,8112677.0,373316.0,171347.0,201969.0
B0101,0.0,0.0,INDIA,Urban,70-79,8250028.0,4050499.0,4199529.0,1461077.0,1220713.0,240364.0,50766.0,32911.0,17855.0,218439.0,141807.0,76632.0,52449.0,35858.0,16591.0,6519746.0,2655068.0,3864678.0,89477.0,41802.0,47675.0
B0101,0.0,0.0,INDIA,Urban,80+,3394015.0,1517899.0,1876116.0,476616.0,388888.0,87728.0,15752.0,10158.0,5594.0,80779.0,49192.0,31587.0,23204.0,14836.0,8368.0,2820868.0,1069661.0,1751207.0,40361.0,17019.0,23342.0
B0101,0.0,0.0,INDIA,Urban,Age not stated,1576350.0,839461.0,736889.0,417139.0,338788.0,78351.0,9192.0,5892.0,3300.0,88189.0,53687.0,34502.0,32401.0,20993.0,11408.0,1061830.0,441094.0,620736.0,44158.0,22350.0,21808.0
B0101,0.0,0.0,INDIA,Urban,15-59,246129207.0,127573588.0,118555619.0,107728192.0,87875855.0,19852337.0,2118579.0,1252038.0,866541.0,12061447.0,7393116.0,4668331.0,6521610.0,4347622.0,2173988.0,124220989.0,31052579.0,93168410.0,20824044.0,8439797.0,12384247.0
B0101,0.0,0.0,INDIA,Urban,60+,30555218.0,15074570.0,15480648.0,7467582.0,6178565.0,1289017.0,220942.0,134745.0,86197.0,1008192.0,631320.0,376872.0,291342.0,196575.0,94767.0,21858502.0,8129940.0,13728562.0,503154.0,230168.0,272986.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,Total,12541302.0,6640662.0,5900640.0,2644149.0,2305788.0,338361.0,476997.0,213623.0,263374.0,1201567.0,675679.0,525888.0,836801.0,542984.0,293817.0,8218589.0,3445572.0,4773017.0,1137893.0,454392.0,683501.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,5-9,1411973.0,746818.0,665155.0,7874.0,4589.0,3285.0,7161.0,3648.0,3513.0,15754.0,8245.0,7509.0,6745.0,3617.0,3128.0,1381184.0,730336.0,650848.0,27707.0,14901.0,12806.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,10-14,1413853.0,744855.0,668998.0,17654.0,11585.0,6069.0,29357.0,14736.0,14621.0,37123.0,18554.0,18569.0,21792.0,11904.0,9888.0,1329719.0,699980.0,629739.0,71182.0,37415.0,33767.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,15-19,1237462.0,640362.0,597100.0,69907.0,54025.0,15882.0,56628.0,28064.0,28564.0,101791.0,54824.0,46967.0,89504.0,53040.0,36464.0,1009136.0,503449.0,505687.0,270213.0,140812.0,129401.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,20-24,1160913.0,603578.0,557335.0,240918.0,206153.0,34765.0,68366.0,31750.0,36616.0,169621.0,95161.0,74460.0,148434.0,92570.0,55864.0,682008.0,270514.0,411494.0,297423.0,137793.0,159630.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,25-29,1086122.0,584559.0,501563.0,407604.0,356210.0,51394.0,60998.0,25532.0,35466.0,173711.0,96849.0,76862.0,137491.0,87118.0,50373.0,443809.0,105968.0,337841.0,182209.0,62944.0,119265.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,30-34,926903.0,495746.0,431157.0,399616.0,347849.0,51767.0,51964.0,20831.0,31133.0,151765.0,84427.0,67338.0,111720.0,72731.0,38989.0,323558.0,42639.0,280919.0,97984.0,22875.0,75109.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,35-39,837945.0,441265.0,396680.0,374782.0,325547.0,49235.0,46298.0,18143.0,28155.0,136342.0,74925.0,61417.0,94360.0,62069.0,32291.0,280523.0,22650.0,257873.0,66218.0,9987.0,56231.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,40-49,1304875.0,699299.0,605576.0,597742.0,525918.0,71824.0,70914.0,27766.0,43148.0,202432.0,111504.0,90928.0,124703.0,84557.0,40146.0,433787.0,34111.0,399676.0,69253.0,9940.0,59313.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,50-59,808597.0,428352.0,380245.0,333370.0,297609.0,35761.0,43469.0,18637.0,24832.0,115699.0,65993.0,49706.0,59739.0,42652.0,17087.0,316059.0,46113.0,269946.0,29572.0,6998.0,22574.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,60-69,526691.0,276170.0,250521.0,129505.0,117406.0,12099.0,27280.0,14977.0,12303.0,65518.0,42713.0,22805.0,29265.0,22562.0,6703.0,304388.0,101074.0,203314.0,17158.0,6802.0,10356.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,70-79,269095.0,140566.0,128529.0,46418.0,42256.0,4162.0,10620.0,6875.0,3745.0,23097.0,16517.0,6580.0,9090.0,7258.0,1832.0,188960.0,74918.0,114042.0,5685.0,2532.0,3153.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,80+,126870.0,65844.0,61026.0,15840.0,14064.0,1776.0,3638.0,2479.0,1159.0,7784.0,5401.0,2383.0,3415.0,2543.0,872.0,99608.0,43900.0,55708.0,2596.0,1084.0,1512.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,Age not stated,15119.0,9747.0,5372.0,2919.0,2577.0,342.0,304.0,185.0,119.0,930.0,566.0,364.0,543.0,363.0,180.0,10966.0,6419.0,4547.0,693.0,309.0,384.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,15-59,7362817.0,3893161.0,3469656.0,2423939.0,2113311.0,310628.0,398637.0,170723.0,227914.0,1051361.0,583683.0,467678.0,765951.0,494737.0,271214.0,3488880.0,1025444.0,2463436.0,1012872.0,391349.0,621523.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Total,60+,922656.0,482580.0,440076.0,191763.0,173726.0,18037.0,41538.0,24331.0,17207.0,96399.0,64631.0,31768.0,41770.0,32363.0,9407.0,592956.0,219892.0,373064.0,25439.0,10418.0,15021.0
